Country,Year,Series,Value
"Total, all countries or areas",2005,Population annual rate of increase (percent),1.257
"Total, all countries or areas",2005,Total fertility rate (children per women),2.6513
"Total, all countries or areas",2005,"Infant mortality for both sexes (per 1,000 live births)",49.2161
"Total, all countries or areas",2005,"Maternal mortality ratio (deaths per 100,000 population)",288
"Total, all countries or areas",2005,Life expectancy at birth for both sexes (years),67.0455
"Total, all countries or areas",2005,Life expectancy at birth for males (years),64.8082
"Total, all countries or areas",2005,Life expectancy at birth for females (years),69.3589
"Total, all countries or areas",2010,Population annual rate of increase (percent),1.23
"Total, all countries or areas",2010,Total fertility rate (children per women),2.5842
"Total, all countries or areas",2010,"Infant mortality for both sexes (per 1,000 live births)",40.9775
"Total, all countries or areas",2010,"Maternal mortality ratio (deaths per 100,000 population)",246
"Total, all countries or areas",2010,Life expectancy at birth for both sexes (years),68.919
"Total, all countries or areas",2010,Life expectancy at birth for males (years),66.6565
"Total, all countries or areas",2010,Life expectancy at birth for females (years),71.2585
"Total, all countries or areas",2015,Population annual rate of increase (percent),1.18
"Total, all countries or areas",2015,Total fertility rate (children per women),2.5171
"Total, all countries or areas",2015,"Infant mortality for both sexes (per 1,000 live births)",33.915
"Total, all countries or areas",2015,"Maternal mortality ratio (deaths per 100,000 population)",216
"Total, all countries or areas",2015,Life expectancy at birth for both sexes (years),70.8763
"Total, all countries or areas",2015,Life expectancy at birth for males (years),68.5291
"Total, all countries or areas",2015,Life expectancy at birth for females (years),73.3086
Africa,2005,Population annual rate of increase (percent),2.439
Africa,2005,Total fertility rate (children per women),5.0771
Africa,2005,"Infant mortality for both sexes (per 1,000 live births)",81.0492
Africa,2005,Life expectancy at birth for both sexes (years),53.5269
Africa,2005,Life expectancy at birth for males (years),51.9582
Africa,2005,Life expectancy at birth for females (years),55.1343
Africa,2010,Population annual rate of increase (percent),2.522
Africa,2010,Total fertility rate (children per women),4.9
Africa,2010,"Infant mortality for both sexes (per 1,000 live births)",67.7143
Africa,2010,Life expectancy at birth for both sexes (years),56.7825
Africa,2010,Life expectancy at birth for males (years),55.2459
Africa,2010,Life expectancy at birth for females (years),58.3389
Africa,2015,Population annual rate of increase (percent),2.581
Africa,2015,Total fertility rate (children per women),4.7301
Africa,2015,"Infant mortality for both sexes (per 1,000 live births)",55.9325
Africa,2015,Life expectancy at birth for both sexes (years),60.2471
Africa,2015,Life expectancy at birth for males (years),58.5824
Africa,2015,Life expectancy at birth for females (years),61.9302
Northern Africa,2005,Population annual rate of increase (percent),1.689
Northern Africa,2005,Total fertility rate (children per women),3.1499
Northern Africa,2005,"Infant mortality for both sexes (per 1,000 live births)",38.7083
Northern Africa,2005,"Maternal mortality ratio (deaths per 100,000 population)",95
Northern Africa,2005,Life expectancy at birth for both sexes (years),67.9799
Northern Africa,2005,Life expectancy at birth for males (years),66.0142
Northern Africa,2005,Life expectancy at birth for females (years),70.0085
Northern Africa,2010,Population annual rate of increase (percent),1.698
Northern Africa,2010,Total fertility rate (children per women),3.1111
Northern Africa,2010,"Infant mortality for both sexes (per 1,000 live births)",31.6837
Northern Africa,2010,"Maternal mortality ratio (deaths per 100,000 population)",82
Northern Africa,2010,Life expectancy at birth for both sexes (years),69.7712
Northern Africa,2010,Life expectancy at birth for males (years),67.8628
Northern Africa,2010,Life expectancy at birth for females (years),71.7397
Northern Africa,2015,Population annual rate of increase (percent),1.962
Northern Africa,2015,Total fertility rate (children per women),3.3416
Northern Africa,2015,"Infant mortality for both sexes (per 1,000 live births)",26.5619
Northern Africa,2015,"Maternal mortality ratio (deaths per 100,000 population)",70
Northern Africa,2015,Life expectancy at birth for both sexes (years),71.1723
Northern Africa,2015,Life expectancy at birth for males (years),69.3751
Northern Africa,2015,Life expectancy at birth for females (years),73.0163
Sub-Saharan Africa,2005,Population annual rate of increase (percent),2.635
Sub-Saharan Africa,2005,Total fertility rate (children per women),5.6394
Sub-Saharan Africa,2005,"Infant mortality for both sexes (per 1,000 live births)",87.8192
Sub-Saharan Africa,2005,"Maternal mortality ratio (deaths per 100,000 population)",717
Sub-Saharan Africa,2005,Life expectancy at birth for both sexes (years),50.5507
Sub-Saharan Africa,2005,Life expectancy at birth for males (years),49.0504
Sub-Saharan Africa,2005,Life expectancy at birth for females (years),52.0832
Sub-Saharan Africa,2010,Population annual rate of increase (percent),2.728
Sub-Saharan Africa,2010,Total fertility rate (children per women),5.404
Sub-Saharan Africa,2010,"Infant mortality for both sexes (per 1,000 live births)",73.4586
Sub-Saharan Africa,2010,"Maternal mortality ratio (deaths per 100,000 population)",624
Sub-Saharan Africa,2010,Life expectancy at birth for both sexes (years),54.0352
Sub-Saharan Africa,2010,Life expectancy at birth for males (years),52.5644
Sub-Saharan Africa,2010,Life expectancy at birth for females (years),55.5158
Sub-Saharan Africa,2015,Population annual rate of increase (percent),2.728
Sub-Saharan Africa,2015,Total fertility rate (children per women),5.0966
Sub-Saharan Africa,2015,"Infant mortality for both sexes (per 1,000 live births)",60.9518
Sub-Saharan Africa,2015,"Maternal mortality ratio (deaths per 100,000 population)",546
Sub-Saharan Africa,2015,Life expectancy at birth for both sexes (years),57.846
Sub-Saharan Africa,2015,Life expectancy at birth for males (years),56.1994
Sub-Saharan Africa,2015,Life expectancy at birth for females (years),59.5024
Eastern Africa,2005,Population annual rate of increase (percent),2.743
Eastern Africa,2005,Total fertility rate (children per women),5.7565
Eastern Africa,2005,"Infant mortality for both sexes (per 1,000 live births)",77.8168
Eastern Africa,2005,Life expectancy at birth for both sexes (years),51.4646
Eastern Africa,2005,Life expectancy at birth for males (years),49.6863
Eastern Africa,2005,Life expectancy at birth for females (years),53.2849
Eastern Africa,2010,Population annual rate of increase (percent),2.787
Eastern Africa,2010,Total fertility rate (children per women),5.3773
Eastern Africa,2010,"Infant mortality for both sexes (per 1,000 live births)",62.5548
Eastern Africa,2010,Life expectancy at birth for both sexes (years),56.0655
Eastern Africa,2010,Life expectancy at birth for males (years),54.3705
Eastern Africa,2010,Life expectancy at birth for females (years),57.7497
Eastern Africa,2015,Population annual rate of increase (percent),2.767
Eastern Africa,2015,Total fertility rate (children per women),4.9045
Eastern Africa,2015,"Infant mortality for both sexes (per 1,000 live births)",50.4258
Eastern Africa,2015,Life expectancy at birth for both sexes (years),60.9734
Eastern Africa,2015,Life expectancy at birth for males (years),59.0098
Eastern Africa,2015,Life expectancy at birth for females (years),62.9195
Middle Africa,2005,Population annual rate of increase (percent),3.06
Middle Africa,2005,Total fertility rate (children per women),6.3806
Middle Africa,2005,"Infant mortality for both sexes (per 1,000 live births)",103.6152
Middle Africa,2005,Life expectancy at birth for both sexes (years),50.5523
Middle Africa,2005,Life expectancy at birth for males (years),49.0468
Middle Africa,2005,Life expectancy at birth for females (years),52.0727
Middle Africa,2010,Population annual rate of increase (percent),3.227
Middle Africa,2010,Total fertility rate (children per women),6.2275
Middle Africa,2010,"Infant mortality for both sexes (per 1,000 live births)",87.7295
Middle Africa,2010,Life expectancy at birth for both sexes (years),53.8813
Middle Africa,2010,Life expectancy at birth for males (years),52.3573
Middle Africa,2010,Life expectancy at birth for females (years),55.4186
Middle Africa,2015,Population annual rate of increase (percent),3.167
Middle Africa,2015,Total fertility rate (children per women),5.9428
Middle Africa,2015,"Infant mortality for both sexes (per 1,000 live births)",74.0764
Middle Africa,2015,Life expectancy at birth for both sexes (years),56.9945
Middle Africa,2015,Life expectancy at birth for males (years),55.3762
Middle Africa,2015,Life expectancy at birth for females (years),58.6348
Southern Africa,2005,Population annual rate of increase (percent),1.207
Southern Africa,2005,Total fertility rate (children per women),2.7236
Southern Africa,2005,"Infant mortality for both sexes (per 1,000 live births)",56.0238
Southern Africa,2005,Life expectancy at birth for both sexes (years),53.043
Southern Africa,2005,Life expectancy at birth for males (years),50.6154
Southern Africa,2005,Life expectancy at birth for females (years),55.6242
Southern Africa,2010,Population annual rate of increase (percent),1.324
Southern Africa,2010,Total fertility rate (children per women),2.7138
Southern Africa,2010,"Infant mortality for both sexes (per 1,000 live births)",49.5173
Southern Africa,2010,Life expectancy at birth for both sexes (years),53.9984
Southern Africa,2010,Life expectancy at birth for males (years),51.6066
Southern Africa,2010,Life expectancy at birth for females (years),56.5064
Southern Africa,2015,Population annual rate of increase (percent),1.517
Southern Africa,2015,Total fertility rate (children per women),2.6351
Southern Africa,2015,"Infant mortality for both sexes (per 1,000 live births)",35.0344
Southern Africa,2015,Life expectancy at birth for both sexes (years),60.3432
Southern Africa,2015,Life expectancy at birth for males (years),57.2286
Southern Africa,2015,Life expectancy at birth for females (years),63.5862
Western Africa,2005,Population annual rate of increase (percent),2.642
Western Africa,2005,Total fertility rate (children per women),5.9499
Western Africa,2005,"Infant mortality for both sexes (per 1,000 live births)",95.3289
Western Africa,2005,Life expectancy at birth for both sexes (years),49.5367
Western Africa,2005,Life expectancy at birth for males (years),48.5849
Western Africa,2005,Life expectancy at birth for females (years),50.5097
Western Africa,2010,Population annual rate of increase (percent),2.728
Western Africa,2010,Total fertility rate (children per women),5.7418
Western Africa,2010,"Infant mortality for both sexes (per 1,000 live births)",81.2385
Western Africa,2010,Life expectancy at birth for both sexes (years),52.558
Western Africa,2010,Life expectancy at birth for males (years),51.6356
Western Africa,2010,Life expectancy at birth for females (years),53.4954
Western Africa,2015,Population annual rate of increase (percent),2.717
Western Africa,2015,Total fertility rate (children per women),5.5151
Western Africa,2015,"Infant mortality for both sexes (per 1,000 live births)",68.4818
Western Africa,2015,Life expectancy at birth for both sexes (years),55.0582
Western Africa,2015,Life expectancy at birth for males (years),54.1142
Western Africa,2015,Life expectancy at birth for females (years),56.0144
Northern America,2005,Population annual rate of increase (percent),0.929
Northern America,2005,Total fertility rate (children per women),1.991
Northern America,2005,"Infant mortality for both sexes (per 1,000 live births)",6.8689
Northern America,2005,Life expectancy at birth for both sexes (years),77.4189
Northern America,2005,Life expectancy at birth for males (years),74.795
Northern America,2005,Life expectancy at birth for females (years),79.965
Northern America,2010,Population annual rate of increase (percent),0.955
Northern America,2010,Total fertility rate (children per women),2.0149
Northern America,2010,"Infant mortality for both sexes (per 1,000 live births)",6.6517
Northern America,2010,Life expectancy at birth for both sexes (years),78.4431
Northern America,2010,Life expectancy at birth for males (years),75.9341
Northern America,2010,Life expectancy at birth for females (years),80.8892
Northern America,2015,Population annual rate of increase (percent),0.785
Northern America,2015,Total fertility rate (children per women),1.8489
Northern America,2015,"Infant mortality for both sexes (per 1,000 live births)",5.8463
Northern America,2015,Life expectancy at birth for both sexes (years),79.226
Northern America,2015,Life expectancy at birth for males (years),76.8339
Northern America,2015,Life expectancy at birth for females (years),81.5758
Latin America & the Caribbean,2005,Population annual rate of increase (percent),1.322
Latin America & the Caribbean,2005,Total fertility rate (children per women),2.4882
Latin America & the Caribbean,2005,"Infant mortality for both sexes (per 1,000 live births)",25.0341
Latin America & the Caribbean,2005,"Maternal mortality ratio (deaths per 100,000 population)",88
Latin America & the Caribbean,2005,Life expectancy at birth for both sexes (years),72.2488
Latin America & the Caribbean,2005,Life expectancy at birth for males (years),69.0078
Latin America & the Caribbean,2005,Life expectancy at birth for females (years),75.5548
Latin America & the Caribbean,2010,Population annual rate of increase (percent),1.179
Latin America & the Caribbean,2010,Total fertility rate (children per women),2.2598
Latin America & the Caribbean,2010,"Infant mortality for both sexes (per 1,000 live births)",20.2279
Latin America & the Caribbean,2010,"Maternal mortality ratio (deaths per 100,000 population)",81
Latin America & the Caribbean,2010,Life expectancy at birth for both sexes (years),73.4535
Latin America & the Caribbean,2010,Life expectancy at birth for males (years),70.1981
Latin America & the Caribbean,2010,Life expectancy at birth for females (years),76.7591
Latin America & the Caribbean,2015,Population annual rate of increase (percent),1.073
Latin America & the Caribbean,2015,Total fertility rate (children per women),2.1382
Latin America & the Caribbean,2015,"Infant mortality for both sexes (per 1,000 live births)",17.0932
Latin America & the Caribbean,2015,"Maternal mortality ratio (deaths per 100,000 population)",67
Latin America & the Caribbean,2015,Life expectancy at birth for both sexes (years),74.4363
Latin America & the Caribbean,2015,Life expectancy at birth for males (years),71.1942
Latin America & the Caribbean,2015,Life expectancy at birth for females (years),77.7147
Caribbean,2005,Population annual rate of increase (percent),0.845
Caribbean,2005,Total fertility rate (children per women),2.4871
Caribbean,2005,"Infant mortality for both sexes (per 1,000 live births)",37.4524
Caribbean,2005,Life expectancy at birth for both sexes (years),69.7365
Caribbean,2005,Life expectancy at birth for males (years),67.3045
Caribbean,2005,Life expectancy at birth for females (years),72.2462
Caribbean,2010,Population annual rate of increase (percent),0.727
Caribbean,2010,Total fertility rate (children per women),2.3765
Caribbean,2010,"Infant mortality for both sexes (per 1,000 live births)",34.7705
Caribbean,2010,Life expectancy at birth for both sexes (years),70.83
Caribbean,2010,Life expectancy at birth for males (years),68.3682
Caribbean,2010,Life expectancy at birth for females (years),73.3562
Caribbean,2015,Population annual rate of increase (percent),0.67
Caribbean,2015,Total fertility rate (children per women),2.3076
Caribbean,2015,"Infant mortality for both sexes (per 1,000 live births)",33.1738
Caribbean,2015,Life expectancy at birth for both sexes (years),71.6316
Caribbean,2015,Life expectancy at birth for males (years),69.1253
Caribbean,2015,Life expectancy at birth for females (years),74.1945
Central America,2005,Population annual rate of increase (percent),1.512
Central America,2005,Total fertility rate (children per women),2.8088
Central America,2005,"Infant mortality for both sexes (per 1,000 live births)",22.9597
Central America,2005,Life expectancy at birth for both sexes (years),74.0122
Central America,2005,Life expectancy at birth for males (years),71.2481
Central America,2005,Life expectancy at birth for females (years),76.764
Central America,2010,Population annual rate of increase (percent),1.535
Central America,2010,Total fertility rate (children per women),2.5446
Central America,2010,"Infant mortality for both sexes (per 1,000 live births)",19.5338
Central America,2010,Life expectancy at birth for both sexes (years),74.4011
Central America,2010,Life expectancy at birth for males (years),71.4866
Central America,2010,Life expectancy at birth for females (years),77.3022
Central America,2015,Population annual rate of increase (percent),1.392
Central America,2015,Total fertility rate (children per women),2.3903
Central America,2015,"Infant mortality for both sexes (per 1,000 live births)",16.9128
Central America,2015,Life expectancy at birth for both sexes (years),74.5914
Central America,2015,Life expectancy at birth for males (years),71.5595
Central America,2015,Life expectancy at birth for females (years),77.6163
South America,2005,Population annual rate of increase (percent),1.3
South America,2005,Total fertility rate (children per women),2.3614
South America,2005,"Infant mortality for both sexes (per 1,000 live births)",24.6688
South America,2005,Life expectancy at birth for both sexes (years),71.9033
South America,2005,Life expectancy at birth for males (years),68.4126
South America,2005,Life expectancy at birth for females (years),75.4887
South America,2010,Population annual rate of increase (percent),1.086
South America,2010,Total fertility rate (children per women),2.1334
South America,2010,"Infant mortality for both sexes (per 1,000 live births)",18.9468
South America,2010,Life expectancy at birth for both sexes (years),73.3961
South America,2010,Life expectancy at birth for males (years),69.935
South America,2010,Life expectancy at birth for females (years),76.9272
South America,2015,Population annual rate of increase (percent),0.985
South America,2015,Total fertility rate (children per women),2.0169
South America,2015,"Infant mortality for both sexes (per 1,000 live births)",15.3737
South America,2015,Life expectancy at birth for both sexes (years),74.675
South America,2015,Life expectancy at birth for males (years),71.2771
South America,2015,Life expectancy at birth for females (years),78.1159
Asia,2005,Population annual rate of increase (percent),1.227
Asia,2005,Total fertility rate (children per women),2.4467
Asia,2005,"Infant mortality for both sexes (per 1,000 live births)",45.8017
Asia,2005,Life expectancy at birth for both sexes (years),68.3315
Asia,2005,Life expectancy at birth for males (years),66.6483
Asia,2005,Life expectancy at birth for females (years),70.1224
Asia,2010,Population annual rate of increase (percent),1.132
Asia,2010,Total fertility rate (children per women),2.3281
Asia,2010,"Infant mortality for both sexes (per 1,000 live births)",37.1114
Asia,2010,Life expectancy at birth for both sexes (years),70.0293
Asia,2010,Life expectancy at birth for males (years),68.2175
Asia,2010,Life expectancy at birth for females (years),71.9654
Asia,2015,Population annual rate of increase (percent),1.036
Asia,2015,Total fertility rate (children per women),2.2098
Asia,2015,"Infant mortality for both sexes (per 1,000 live births)",29.5012
Asia,2015,Life expectancy at birth for both sexes (years),71.83
Asia,2015,Life expectancy at birth for males (years),69.8
Asia,2015,Life expectancy at birth for females (years),74.0127
Central Asia,2005,Population annual rate of increase (percent),1.091
Central Asia,2005,Total fertility rate (children per women),2.5278
Central Asia,2005,"Infant mortality for both sexes (per 1,000 live births)",47.1479
Central Asia,2005,Life expectancy at birth for both sexes (years),65.6321
Central Asia,2005,Life expectancy at birth for males (years),61.6073
Central Asia,2005,Life expectancy at birth for females (years),69.8064
Central Asia,2010,Population annual rate of increase (percent),1.437
Central Asia,2010,Total fertility rate (children per women),2.6728
Central Asia,2010,"Infant mortality for both sexes (per 1,000 live births)",36.5594
Central Asia,2010,Life expectancy at birth for both sexes (years),67.4509
Central Asia,2010,Life expectancy at birth for males (years),63.5331
Central Asia,2010,Life expectancy at birth for females (years),71.5199
Central Asia,2015,Population annual rate of increase (percent),1.73
Central Asia,2015,Total fertility rate (children per women),2.757
Central Asia,2015,"Infant mortality for both sexes (per 1,000 live births)",26.381
Central Asia,2015,Life expectancy at birth for both sexes (years),69.5182
Central Asia,2015,Life expectancy at birth for males (years),66.1473
Central Asia,2015,Life expectancy at birth for females (years),72.9276
Eastern Asia,2005,Population annual rate of increase (percent),0.576
Eastern Asia,2005,Total fertility rate (children per women),1.5726
Eastern Asia,2005,"Infant mortality for both sexes (per 1,000 live births)",24.8299
Eastern Asia,2005,"Maternal mortality ratio (deaths per 100,000 population)",48
Eastern Asia,2005,Life expectancy at birth for both sexes (years),73.4548
Eastern Asia,2005,Life expectancy at birth for males (years),71.3863
Eastern Asia,2005,Life expectancy at birth for females (years),75.6711
Eastern Asia,2010,Population annual rate of increase (percent),0.513
Eastern Asia,2010,Total fertility rate (children per women),1.5918
